ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
Productos Derivados de Girasol,"0,1","0,5","1,2","1,5","3,5","8,8","8,7",15,"14,6","28,5","22,4",14,"20,6","24,6","44,9","76,5","141,8","111,4",118,"78,8","102,9","111,3","84,8","49,4","41,1","43,8","50,3","55,2","93,3","71,2"
Productos de la Refinacion del Petroleo,"7,3","6,4","8,6",12,"8,3","8,9",10,"10,2","15,9","12,6","12,5","18,7","33,4","42,1","48,7","50,8","65,4","27,9","30,4","36,2","38,7","53,5","52,1","47,1","46,2",47,47,"43,4","10,4","9,8"
Productos Textiles,"10,1","10,8","14,7","9,9","12,8","14,4","23,3","29,7","29,5","25,5","17,3","28,9",28,"32,6","34,3","42,2","110,3","37,4","54,8","31,6","55,2","28,6","37,7","24,9",11,"12,8","18,6","15,9","9,6","7,5"
Joyeria con Oro Importado,"26,9","31,5","24,3","11,6","49,5","54,3","44,8",32,"13,7","11,4","15,9","11,7","17,3","14,6",22,"16,4","36,3","54,9","25,7","20,5","36,7","41,2","45,8","42,3","45,3","46,3","3,2","0,4","0,3","0,5"
Cueros y Manufacturas de Cuero,"11,7",14,"11,9","12,3","12,2","14,6","11,3","12,2","22,5","22,7","23,4","21,2","23,5","21,6","32,3","36,9","32,1","17,9",35,"52,6","50,5","58,2","66,5","47,2","39,4","35,8",24,"16,6","11,7","17,4"
Alcohol Etilico,"2,4",3,"3,5","3,6","6,2","3,1","2,8","2,4","3,9","5,1","4,5","8,9","12,7","12,8",22,"29,1","38,7","44,7","51,7","43,6","47,4","84,4","65,6","57,9","48,1","38,8","60,8","61,4","67,1","36,5"
Azucar,"25,4","15,7","45,5","16,8","27,9","22,1","23,6","9,2","7,2",10,"15,8","23,7",31,"18,7","18,5","32,5","49,7","76,8","45,3","0,9","24,6","82,6","10,2","1,1","15,4","1,3","26,3","39,4","50,5","33,8"
"Prendas de Vestir, Adobo y Tenido de Pieles","3,2","4,2","6,2","9,3","17,4","16,8","9,4","11,7","16,5",15,"13,6","22,5","39,8","35,1","33,4","26,7","27,2","32,1","36,1","27,4","27,9","23,4","28,6","18,6",11,"10,8","12,6","11,5","8,5",8
Antimonio Metalico y Oxidos de Antimonio,8,"6,4","8,1","7,5","6,9","7,3","5,3","3,2","1,1","1,5","1,5","3,9",6,"9,8",14,"15,7","18,1",12,"31,6","50,3","55,2","43,9","32,5","23,2","14,3","19,8","20,5","13,8","11,8","13,8"
Productos Alimenticios,"0,4","3,5",6,"6,1","6,3","7,4","7,8",4,3,"2,8",3,"4,3","8,2","6,5","9,4",11,"10,3","8,8","15,5","13,8","18,6","26,5","29,6","30,8","24,3","26,2","23,8","21,8","18,7","14,9"
Sustancias y Productos Quimicos,"1,7","1,2","2,3","1,6","0,7","0,2","0,4","0,5","0,8","0,6","1,6","1,1",2,"3,4","5,3","7,2","13,1","13,3","23,3",24,"72,7","25,8","21,8","23,2","18,8","18,3","21,2","21,8","23,9",25
Leche en Polvo y Fluida,,,"0,3","1,2","0,1","0,8","1,7","1,2","5,3","6,9","7,6","7,8","6,4","4,1","8,3","8,3","2,9","7,8","14,5","8,9","16,2","35,1","44,1","28,8","28,7","18,6","13,3","16,3","20,6","20,7"
Fabricacion de muebles de Madera,"0,5","1,1","2,4",3,"3,3","4,7","8,8","21,6","17,5",10,"10,6","12,6","12,2","10,7","12,3","27,3","14,8","14,2","20,8","11,4","7,3","6,9","6,9","10,6","7,2","7,3","7,2","6,8","6,1","7,1"
Gas Licuado de Petroleo (GLP),,,,,,,"0,6","1,9",5,"4,3","2,4","1,2","2,1","0,9",,,,,,,"0,3","4,3","27,3","14,4","41,5","54,4",53,"39,7","28,1","42,3"
